gazetteer_title,stream_name,tributary_side,primary_county,origin,flow_description,destination_details,additional_data,canvas_fragment,image,current_alphabet_letter
Gazetteer of Surface Waters of Iowa,Abby Creek,Left,Linn County,"T. 83 N., R. 5 W.",flows west 9 miles into Big Creek,"into Big Creek (tributary through Cedar River to Iowa River and thus to the Mississippi) in Linn County, T. 83 N., R. 6 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005#xywh=396,622,1781,63",0005_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005.jpg,
Gazetteer of Surface Waters of Iowa,Ackley Creek,Right,Floyd County,"T. 94 N., R. 18 W.",flows east 9 miles into Shellrock River,"into Shellrock River (tributary through Cedar River to Iowa River and thus to the Mississippi) in Floyd County, T. 94 N., R. 17 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005#xywh=172,2365,2214,62",0005_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005.jpg,
Gazetteer of Surface Waters of Iowa,Aldrich Creek,Right,Ida County,"sec. 5, T. 87 N., R. 41 W.",flows south 6 miles into Maple River,"into Maple River (tributary through Little Sioux River to Missouri River) in sec. 33, T. 87 N., R. 41 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005#xywh=172,2580,2211,52",0005_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005.jpg,
Gazetteer of Surface Waters of Iowa,Alexander Creek,Right,Fayette County,"sec. 9, T. 92 N., R. 8 W.",flows generally northwest 4 miles into Volga River,"into Volga River (tributary through Turkey River to the Mississippi) in T. 93 N., R. 8 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005#xywh=172,2790,2214,52",0005_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005.jpg,
Gazetteer of Surface Waters of Iowa,Allaway Creek,Left,Marshall County,"T. 82 N., R. 18 W.",flows south 10 miles into North Skunk River,"into North Skunk River (tributary through Skunk River to the Mississippi) in Jasper County, T. 80 N., R. 18 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005#xywh=172,2998,2214,52",0005_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005.jpg,
Gazetteer of Surface Waters of Iowa,Allen Creek,Left,Harrison County,"secs. 11 and 12, T. 81 N., R. 43 W.",flows southwest 15 miles into a slough west of Magnolia,"into a slough west of Magnolia in Harrison County, T. 79 N., R. 44 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005#xywh=172,3206,2208,51",0005_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005.jpg,
Gazetteer of Surface Waters of Iowa,Asher Creek,Left,Grundy County,"T. 86 N., R. 18 W.",flows south 12 miles into Iowa River,"into Iowa River (tributary to the Mississippi) in Marshall County, T. 84 N., R. 18 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005#xywh=172,3415,2211,49",0005_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005.jpg,
Gazetteer of Surface Waters of Iowa,Asher Creek,Left,Marshall County,"sec. 4, T. 85 N., R. 18 W.",flows south 12 miles into Iowa River,"into Iowa River (tributary to the Mississippi) in Marshall County, sec. 27, T. 84 N., R. 18 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005#xywh=168,1958,2218,61",0005_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005.jpg,
Gazetteer of Surface Waters of Iowa,"Asher Creek, Little",Left,Marshall County,"sec. 8, T. 85 N., R. 17 W.",flows southwest 6 miles into Asher Creek,"into Asher Creek (tributary through Iowa River to the Mississippi) in Marshall County, sec. 28, T. 85 N., R. 18 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005#xywh=174,3831,2204,50",0005_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0005.jpg,
Gazetteer of Surface Waters of Iowa,Ashton Creek,Left,Ida County,"sec. 28, T. 89 N., R. 40 W.",flows northwest 9 miles into Little Sioux River,"Little Sioux River (tributary to Missouri River) in Ida County, sec. 7, T. 89 N., R. 41 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,329,2218,60",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Avery Creek,Right,Monroe County,"T. 72 N., R. 17 W.",flows northeast 19 miles into Des Moines River,"Des Moines River (tributary to the Mississippi) in Wapello County, T. 73 N., R. 15 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,544,2220,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,"Avery Creek, South",Right,Monroe County,"sec. 34, T. 72 N., R. 17 W.",flows northeast 20 miles into Des Moines River,"Des Moines River (tributary to the Mississippi) in sec. 31, T. 73 N., R. 14 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,753,2224,52",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Bacon Creek,Left,Ida County,"sec. 3, T. 88 N., R. 41 W.",flows west 12 miles into Little Sioux River,"Little Sioux River (tributary to Missouri River) in Woodbury County, T. 88 N., R. 43 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,963,2224,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Badger Creek,Left,Humboldt County,"T. 91 N., R. 28 W.",flows southwest 7 miles into Des Moines River,"Des Moines River (tributary to the Mississippi) in Webster County, sec. 30, T. 90 N., R. 28 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,1173,2228,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Badger Creek,Left,Ida County,"sec. 2, T. 86 N., R. 40 W.",flows northwest 4 miles into Maple River,"Maple River (tributary through Little Sioux River to Missouri River) in Ida County, sec. 15, T. 87 N., R. 40 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,1381,2227,52",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Badger Creek,Left,Madison County,"T. 77 N., R. 27 W.",flows east and southeast 17 miles into North River,"North River (tributary through Des Moines River to the Mississippi) in Warren County, T. 77 N., R. 25 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,1589,2228,54",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Bailey Creek,Right,Cerro Gordo County,"T. 94 N., R. 22 W.",flows southeast 20 miles into West Fork of Shellrock River,"West Fork of Shellrock River (tributary through Shellrock River to Cedar River, which discharges into the Mississippi through Iowa River) in junction with Beaver Dam Creek in Franklin County, T. 93 N., R. 19 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,1803,2233,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
