category,recipe_name,recipe_text,ingredients,steps,canvas_fragment,image
Desserts,ORANGE PUDDING,"To two large oranges peeled and picked to pieces, add a cup of sugar. Boil a quart of milk mixed with the yolks of three eggs, and two dessert-spoons of corn-starch. Cool it and stir into it the orange and sugar. Cover it with meringue made of the whites of the eggs, and a little sugar, and brown in the oven.","['2 large oranges', '1 cup sugar', '1 quart milk', '3 egg yolks', '2 dessert-spoons corn-starch', 'whites of 3 eggs', 'sugar (for meringue)']","['Peel and pick the oranges into pieces.', 'Add a cup of sugar to the oranges.', 'Boil the milk mixed with the egg yolks and corn-starch.', 'Cool the mixture.', 'Stir the orange and sugar into the cooled mixture.', 'Cover with a meringue made of the egg whites and a little sugar.', 'Brown in the oven.']",https://www.loc.gov/item/unk81009721/canvas/13,0013_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0013.jpg
Desserts,CORN PUDDING,"Grate one dozen ears of corn, not too young. Add one quart milk, four or five beaten eggs, a dessert-spoon of","['1 dozen ears of corn', '1 quart milk', '4 or 5 beaten eggs']","['Grate the ears of corn.', 'Add the milk and beaten eggs.']",https://www.loc.gov/item/unk81009721/canvas/13,0013_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0013.jpg
Desserts,SPANISH CREAM,"One quart milk. One quarter box of gelatine. Three eggs. Three table-spoons of sugar. Put the gelatine to soak in a little of the milk. Boil the rest and pour on it. Beat the yolks well with the sugar, and mix them with the milk and gelatine, and a little salt. When nearly cold, add four table-spoons of wine. Beat the whites with one cup of sugar and juice of a lemon; spread it over the top and set it in the oven to brown.","['One quart milk', 'One quarter box of gelatine', 'Three eggs', 'Three table-spoons of sugar', 'a little salt', 'four table-spoons of wine', 'one cup of sugar', 'juice of a lemon']","['Put the gelatine to soak in a little of the milk.', 'Boil the rest and pour on it.', 'Beat the yolks well with the sugar, and mix them with the milk and gelatine, and a little salt.', 'When nearly cold, add four table-spoons of wine.', 'Beat the whites with one cup of sugar and juice of a lemon; spread it over the top and set it in the oven to brown.']",https://www.loc.gov/item/unk81009721/canvas/14,0014_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0014.jpg
Desserts,FRUIT MERINGUE,"Fill a baking dish half full of peaches or tart apples cut up, or strawberries. Beat the whites of eggs, more or less, according to the size of the dish, to a stiff froth, adding a heaping table-spoon of powdered sugar for each egg. Set in a quick oven to brown.","['peaches or tart apples cut up, or strawberries', 'whites of eggs', 'heaping table-spoon of powdered sugar for each egg']","['Fill a baking dish half full of peaches or tart apples cut up, or strawberries.', 'Beat the whites of eggs, more or less, according to the size of the dish, to a stiff froth, adding a heaping table-spoon of powdered sugar for each egg.', 'Set in a quick oven to brown.']",https://www.loc.gov/item/unk81009721/canvas/14,0014_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0014.jpg
Desserts,QUEEN OF PUDDINGS.,"One pint of bread crumbs. One quart of milk. One cup of sugar. Butter the size of an egg. Yolks of five eggs, well beaten. The grated rind of one lemon. Bake like custard, then spread over it a layer of jelly or preserves. Beat the whites of the eggs to a stiff froth, adding one cup of powdered sugar, and spread it over the top. Set it in the oven to brown.","['One pint of bread crumbs', 'One quart of milk', 'One cup of sugar', 'Butter the size of an egg', 'Yolks of five eggs', 'Grated rind of one lemon', 'Jelly or preserves', 'Whites of five eggs', 'One cup of powdered sugar']","['Mix bread crumbs, milk, sugar, butter, beaten yolks, and lemon rind.', 'Bake like custard.', 'Spread a layer of jelly or preserves over the top.', 'Beat the whites of the eggs to a stiff froth with one cup of powdered sugar.', 'Spread the egg white mixture over the top.', 'Set in the oven to brown.']",https://www.loc.gov/item/unk81009721/canvas/15,0015_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0015.jpg
Desserts,PUFFS.,One pint of milk. One pint of flour. Two eggs. A little salt. Fill nine cups half full and bake half an hour.,"['One pint of milk', 'One pint of flour', 'Two eggs', 'A little salt']","['Combine milk, flour, eggs, and salt.', 'Fill nine cups half full.', 'Bake half an hour.']",https://www.loc.gov/item/unk81009721/canvas/15,0015_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0015.jpg
Desserts,SAUCE FOR PUFFS.,"Scald two table-spoons of Madeira wine with the same quantity of water. Rub together two cups of sugar and one of butter, and add the beaten yolks of two eggs, and put into the scalding wine. Then add the beaten whites of the eggs.","['Two table-spoons of Madeira wine', 'Two table-spoons of water', 'Two cups of sugar', 'One cup of butter', 'Yolks of two eggs', 'Whites of two eggs']","['Scald the wine and water together.', 'Rub the sugar and butter together.', 'Add the beaten yolks to the sugar and butter mixture.', 'Combine the sugar/butter/yolk mixture with the scalding wine.', 'Add the beaten whites of the eggs.']",https://www.loc.gov/item/unk81009721/canvas/15,0015_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0015.jpg
Desserts,ORANGE JELLY CAKE,"One lb. of eggs. One lb. of powdered sugar. Half lb. of flour. Beat the eggs separately. Any good recipe for Sponge Cake will do. JELLY FOR THE ABOVE. Beat, to a stiff froth, the white of an egg. Add sugar enough to make it a little stiff. Then add the grated rind and juice of an orange. The above cake can be baked in jelly-cake tins, or in thick loaves, to be split when cold.","['1 lb. eggs', '1 lb. powdered sugar', '1/2 lb. flour', '1 white of an egg', 'Sugar', 'Grated rind of an orange', 'Juice of an orange']","['Beat the eggs separately.', 'Prepare the cake batter using the eggs, sugar, and flour (or any good Sponge Cake recipe).', 'Bake in jelly-cake tins or thick loaves to be split when cold.', 'For the jelly: Beat the white of an egg to a stiff froth.', 'Add sugar to the egg white until slightly stiff.', 'Stir in the grated rind and juice of an orange.']",https://www.loc.gov/item/unk81009721/canvas/16,0016_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0016.jpg
Desserts,"CHOCOLATE JELLY CAKE, No. 1.","Cake the same as for Orange Cake. FOR JELLY. Beat, to a stiff froth, the white of an egg. Stiffen with grated chocolate, and perhaps a handful of powdered sugar. Proceed as for Orange Cake.","['white of an egg', 'grated chocolate', 'powdered sugar']","['Beat the white of an egg to a stiff froth.', 'Stiffen with grated chocolate and a handful of powdered sugar.', 'Proceed as for Orange Cake.']",https://www.loc.gov/item/unk81009721/canvas/17,0017_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0017.jpg
Desserts,"CHOCOLATE JELLY CAKE, No. 2.","Two cups of sugar. Half a cup of butter. One cup of milk. Three eggs. Three cups of flour. One tea-spoon of cream tartar. Half a tea-spoon of soda. Bake in thick loaves and split when cold. JELLY FOR THE ABOVE. One cup of grated chocolate. Two cups of sugar. Half a cup of milk. As soon as it boils, pour a layer over the lower layer of cake. Lay another layer of cake and pour another layer of chocolate. Lay the top layer of cake, and letting the rest of the chocolate boil until it strings in water, pour it over the whole.","['2 cups sugar', '1/2 cup butter', '1 cup milk', '3 eggs', '3 cups flour', '1 tea-spoon cream tartar', '1/2 tea-spoon soda', '1 cup grated chocolate', '2 cups sugar', '1/2 cup milk']","['Mix sugar, butter, milk, eggs, flour, cream tartar, and soda.', 'Bake in thick loaves and split when cold.', 'For the jelly, combine grated chocolate, sugar, and milk.', 'As soon as it boils, pour a layer over the lower layer of cake.', 'Lay another layer of cake and pour another layer of chocolate.', 'Lay the top layer of cake.', 'Let the rest of the chocolate boil until it strings in water, then pour it over the whole.']",https://www.loc.gov/item/unk81009721/canvas/17,0017_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0017.jpg
