date,description,amount,transaction_type,record_type,section_title,year,canvas_fragment,image
,No. 1801,,account_info,Bank Ledger,Cover,,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0001d,0001_service:mss:mss11879:mss11879-42:42001:0001d.jpg
,Folio 413 L - 2,,account_info,Bank Ledger,Cover,,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0001d,0001_service:mss:mss11879:mss11879-42:42001:0001d.jpg
,"Capital Savings Bank, Washington, D. C. in account with Helen Douglass",,account_info,Bank Ledger,Cover,,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0001d,0001_service:mss:mss11879:mss11879-42:42001:0001d.jpg
"July 15, 1895",Deposit,3000.00,deposit,Bank Ledger,DR,1895,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002#xywh=294,542,377,112",0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"July 19, 1895",Deposit,268.10,deposit,Bank Ledger,DR,1895,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002#xywh=183,345,193,62",0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"December 19, 1895",Deposit,100.00,deposit,Bank Ledger,DR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"April 2, 1896",Time Deposit,20.15,deposit,Bank Ledger,DR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"July 17, 1896",Time Deposit,2200.00,deposit,Bank Ledger,DR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"April 21, 1896",Deposit,18.00,deposit,Bank Ledger,DR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"July 17, 1897",Interest,120.00,deposit,Bank Ledger,DR,1897,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002#xywh=1149,1040,81,26",0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"July 17, 1897",Total Amount,5726.25,deposit,Bank Ledger,DR,1897,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002#xywh=468,756,175,41",0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"July 15, 1895",Check,3.00,withdrawal,Bank Ledger,CR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"July 16, 1895",Check,4.80,withdrawal,Bank Ledger,CR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"August 6, 1895",Check,268.25,withdrawal,Bank Ledger,CR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"August 7, 1895",Check,50.00,withdrawal,Bank Ledger,CR,1895,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002#xywh=1151,682,91,20",0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"August 22, 1895",Check,3.00,withdrawal,Bank Ledger,CR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"August 31, 1895",Check,50.00,withdrawal,Bank Ledger,CR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"September 27, 1895",Check,100.00,withdrawal,Bank Ledger,CR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"October 16, 1895",Check,20.00,withdrawal,Bank Ledger,CR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
